Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,127.510002,127.510002,127.510002,127.510002,127.510002,0
2023-05-16,127.330002,127.330002,127.330002,127.330002,127.330002,0
2023-05-17,128.190002,128.190002,128.190002,128.190002,128.190002,0
2023-05-18,null,null,null,null,null,null
2023-05-19,129.529999,129.529999,129.529999,129.529999,129.529999,0
2023-05-22,130.410004,130.410004,130.410004,130.410004,130.410004,0
2023-05-23,128.220001,128.220001,128.220001,128.220001,128.220001,0
2023-05-24,126.690002,126.690002,126.690002,126.690002,126.690002,0
2023-05-25,129.470001,129.470001,129.470001,129.470001,129.470001,0
2023-05-26,132.410004,132.410004,132.410004,132.410004,132.410004,0
2023-05-29,null,null,null,null,null,null
2023-05-30,132.630005,132.630005,132.630005,132.630005,132.630005,0
2023-05-31,131.460007,131.460007,131.460007,131.460007,131.460007,0
2023-06-01,132.339996,132.339996,132.339996,132.339996,132.339996,0
2023-06-02,134.699997,134.699997,134.699997,134.699997,134.699997,0
2023-06-05,135.229996,135.229996,135.229996,135.229996,135.229996,0
2023-06-06,135.830002,135.830002,135.830002,135.830002,135.830002,0
2023-06-07,133.490005,133.490005,133.490005,133.490005,133.490005,0
2023-06-08,134.380005,134.380005,134.380005,134.380005,134.380005,0
2023-06-09,135.529999,135.529999,135.529999,135.529999,135.529999,0
2023-06-12,137.649994,137.649994,137.649994,137.649994,137.649994,0
2023-06-13,138.910004,138.910004,138.910004,138.910004,138.910004,0
2023-06-14,139.080002,139.080002,139.080002,139.080002,139.080002,0
2023-06-15,140.210007,140.210007,140.210007,140.210007,140.210007,0
2023-06-16,140.149994,140.149994,140.149994,140.149994,140.149994,0
2023-06-19,139.229996,139.229996,139.229996,139.229996,139.229996,0
2023-06-20,138.720001,138.720001,138.720001,138.720001,138.720001,0
2023-06-21,136.149994,136.149994,136.149994,136.149994,136.149994,0
2023-06-22,136.369995,136.369995,136.369995,136.369995,136.369995,0
2023-06-23,null,null,null,null,null,null
2023-06-26,134.119995,134.119995,134.119995,134.119995,134.119995,0
2023-06-27,135.100006,135.100006,135.100006,135.100006,135.100006,0
2023-06-28,136.490005,136.490005,136.490005,136.490005,136.490005,0
2023-06-29,136.419998,136.419998,136.419998,136.419998,136.419998,0
2023-06-30,137.669998,137.669998,137.669998,137.669998,137.669998,0
2023-07-03,139.360001,139.360001,139.360001,139.360001,139.360001,0
2023-07-04,139.699997,139.699997,139.699997,139.699997,139.699997,0
2023-07-05,138.899994,138.899994,138.899994,138.899994,138.899994,0
2023-07-06,136.000000,136.000000,136.000000,136.000000,136.000000,0
2023-07-07,135.360001,135.360001,135.360001,135.360001,135.360001,0
2023-07-10,135.869995,135.869995,135.869995,135.869995,135.869995,0
2023-07-11,137.330002,137.330002,137.330002,137.330002,137.330002,0
2023-07-12,null,null,null,null,null,null
2023-07-13,141.139999,141.139999,141.139999,141.139999,141.139999,0
2023-07-14,141.000000,141.000000,141.000000,141.000000,141.000000,0
2023-07-17,140.470001,140.470001,140.470001,140.470001,140.470001,0
2023-07-18,140.970001,140.970001,140.970001,140.970001,140.970001,0
2023-07-19,140.789993,140.789993,140.789993,140.789993,140.789993,0
2023-07-20,137.529999,137.529999,137.529999,137.529999,137.529999,0
2023-07-21,137.380005,137.380005,137.380005,137.380005,137.380005,0
2023-07-24,137.570007,137.570007,137.570007,137.570007,137.570007,0
2023-07-25,140.059998,140.059998,140.059998,140.059998,140.059998,0
2023-07-26,138.910004,138.910004,138.910004,138.910004,138.910004,0
2023-07-27,140.470001,140.470001,140.470001,140.470001,140.470001,0
2023-07-28,null,null,null,null,null,null
2023-07-31,143.119995,143.119995,143.119995,143.119995,143.119995,0
2023-08-01,142.470001,142.470001,142.470001,142.470001,142.470001,0
2023-08-02,138.770004,138.770004,138.770004,138.770004,138.770004,0
2023-08-03,138.699997,138.699997,138.699997,138.699997,138.699997,0
2023-08-04,138.729996,138.729996,138.729996,138.729996,138.729996,0
2023-08-07,138.800003,138.800003,138.800003,138.800003,138.800003,0
2023-08-08,136.320007,136.320007,136.320007,136.320007,136.320007,0
2023-08-09,135.740005,135.740005,135.740005,135.740005,135.740005,0
2023-08-10,136.550003,136.550003,136.550003,136.550003,136.550003,0
2023-08-11,135.119995,135.119995,135.119995,135.119995,135.119995,0
2023-08-14,135.169998,135.169998,135.169998,135.169998,135.169998,0
2023-08-15,null,null,null,null,null,null
2023-08-16,132.240005,132.240005,132.240005,132.240005,132.240005,0
2023-08-17,131.570007,131.570007,131.570007,131.570007,131.570007,0
2023-08-18,131.089996,131.089996,131.089996,131.089996,131.089996,0
2023-08-21,132.100006,132.100006,132.100006,132.100006,132.100006,0
2023-08-22,133.160004,133.160004,133.160004,133.160004,133.160004,0
2023-08-23,134.539993,134.539993,134.539993,134.539993,134.539993,0
