Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,23.601839,23.601839,23.601839,23.601839,23.601839,0
2023-01-03,23.934919,23.934919,23.934919,23.934919,23.934919,0
2023-01-04,24.180969,24.180969,24.180969,24.180969,24.180969,0
2023-01-05,23.972099,23.972099,23.972099,23.972099,23.972099,0
2023-01-06,24.292250,24.292250,24.292250,24.292250,24.292250,0
2023-01-09,24.201309,24.201309,24.201309,24.201309,24.201309,0
2023-01-10,24.330111,24.330111,24.330111,24.330111,24.330111,0
2023-01-11,24.615179,24.615179,24.615179,24.615179,24.615179,0
2023-01-12,24.560040,24.560040,24.560040,24.560040,24.560040,0
2023-01-13,24.622721,24.622721,24.622721,24.622721,24.622721,0
2023-01-16,24.620890,24.620890,24.620890,24.620890,24.620890,0
2023-01-17,24.713890,24.713890,24.713890,24.713890,24.713890,0
2023-01-18,24.497740,24.497740,24.497740,24.497740,24.497740,0
2023-01-19,24.111290,24.111290,24.111290,24.111290,24.111290,0
2023-01-20,24.320089,24.320089,24.320089,24.320089,24.320089,0
2023-01-23,24.470680,24.470680,24.470680,24.470680,24.470680,0
2023-01-24,24.521830,24.521830,24.521830,24.521830,24.521830,0
2023-01-25,24.473801,24.473801,24.473801,24.473801,24.473801,0
2023-01-26,24.697350,24.697350,24.697350,24.697350,24.697350,0
2023-01-27,24.853531,24.853531,24.853531,24.853531,24.853531,0
2023-01-30,24.572519,24.572519,24.572519,24.572519,24.572519,0
2023-01-31,24.985090,24.985090,24.985090,24.985090,24.985090,0
2023-02-01,25.152889,25.152889,25.152889,25.152889,25.152889,0
2023-02-02,25.499241,25.499241,25.499241,25.499241,25.499241,0
2023-02-03,25.550449,25.550449,25.550449,25.550449,25.550449,0
2023-02-06,25.478050,25.478050,25.478050,25.478050,25.478050,0
2023-02-07,25.606750,25.606750,25.606750,25.606750,25.606750,0
2023-02-08,25.475510,25.475510,25.475510,25.475510,25.475510,0
2023-02-09,25.247089,25.247089,25.247089,25.247089,25.247089,0
2023-02-10,25.331240,25.331240,25.331240,25.331240,25.331240,0
2023-02-13,25.462749,25.462749,25.462749,25.462749,25.462749,0
2023-02-14,25.443470,25.443470,25.443470,25.443470,25.443470,0
2023-02-15,25.662670,25.662670,25.662670,25.662670,25.662670,0
2023-02-16,25.544230,25.544230,25.544230,25.544230,25.544230,0
2023-02-17,25.596729,25.596729,25.596729,25.596729,25.596729,0
2023-02-20,25.594830,25.594830,25.594830,25.594830,25.594830,0
2023-02-21,25.166519,25.166519,25.166519,25.166519,25.166519,0
2023-02-22,25.201811,25.201811,25.201811,25.201811,25.201811,0
2023-02-23,25.290260,25.290260,25.290260,25.290260,25.290260,0
2023-02-24,25.144711,25.144711,25.144711,25.144711,25.144711,0
2023-02-27,25.171570,25.171570,25.171570,25.171570,25.171570,0
2023-02-28,25.051849,25.051849,25.051849,25.051849,25.051849,0
2023-03-01,24.719919,24.719919,24.719919,24.719919,24.719919,0
2023-03-02,25.012939,25.012939,25.012939,25.012939,25.012939,0
2023-03-03,25.362270,25.362270,25.362270,25.362270,25.362270,0
