Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,14.438000,14.438000,14.438000,14.438000,14.438000,0
2023-01-03,14.500000,14.500000,14.500000,14.500000,14.500000,0
2023-01-04,14.773000,14.773000,14.773000,14.773000,14.773000,0
2023-01-05,14.711000,14.711000,14.711000,14.711000,14.711000,0
2023-01-06,14.937000,14.937000,14.937000,14.937000,14.937000,0
2023-01-09,15.068000,15.068000,15.068000,15.068000,15.068000,0
2023-01-10,14.956000,14.956000,14.956000,14.956000,14.956000,0
2023-01-11,15.070000,15.070000,15.070000,15.070000,15.070000,0
2023-01-12,15.172000,15.172000,15.172000,15.172000,15.172000,0
2023-01-13,15.288000,15.288000,15.288000,15.288000,15.288000,0
2023-01-16,15.350000,15.350000,15.350000,15.350000,15.350000,0
2023-01-17,15.420000,15.420000,15.420000,15.420000,15.420000,0
2023-01-18,15.450000,15.450000,15.450000,15.450000,15.450000,0
2023-01-19,15.168000,15.168000,15.168000,15.168000,15.168000,0
2023-01-20,15.262000,15.262000,15.262000,15.262000,15.262000,0
2023-01-23,15.363000,15.363000,15.363000,15.363000,15.363000,0
2023-01-24,15.378000,15.378000,15.378000,15.378000,15.378000,0
2023-01-25,15.332000,15.332000,15.332000,15.332000,15.332000,0
2023-01-26,15.449000,15.449000,15.449000,15.449000,15.449000,0
2023-01-27,15.461000,15.461000,15.461000,15.461000,15.461000,0
2023-01-30,15.396000,15.396000,15.396000,15.396000,15.396000,0
2023-01-31,15.426000,15.426000,15.426000,15.426000,15.426000,0
2023-02-01,15.450000,15.450000,15.450000,15.450000,15.450000,0
2023-02-02,15.633000,15.633000,15.633000,15.633000,15.633000,0
2023-02-03,15.781000,15.781000,15.781000,15.781000,15.781000,0
2023-02-06,15.585000,15.585000,15.585000,15.585000,15.585000,0
2023-02-07,15.555000,15.555000,15.555000,15.555000,15.555000,0
2023-02-08,15.573000,15.573000,15.573000,15.573000,15.573000,0
2023-02-09,15.686000,15.686000,15.686000,15.686000,15.686000,0
2023-02-10,15.553000,15.553000,15.553000,15.553000,15.553000,0
2023-02-13,15.705000,15.705000,15.705000,15.705000,15.705000,0
2023-02-14,15.722000,15.722000,15.722000,15.722000,15.722000,0
2023-02-15,15.861000,15.861000,15.861000,15.861000,15.861000,0
2023-02-16,15.951000,15.951000,15.951000,15.951000,15.951000,0
2023-02-17,15.920000,15.920000,15.920000,15.920000,15.920000,0
2023-02-20,15.900000,15.900000,15.900000,15.900000,15.900000,0
2023-02-21,15.834000,15.834000,15.834000,15.834000,15.834000,0
2023-02-22,15.769000,15.769000,15.769000,15.769000,15.769000,0
2023-02-23,15.847000,15.847000,15.847000,15.847000,15.847000,0
2023-02-24,15.622000,15.622000,15.622000,15.622000,15.622000,0
2023-02-27,15.862000,15.862000,15.862000,15.862000,15.862000,0
2023-02-28,15.840000,15.840000,15.840000,15.840000,15.840000,0
2023-03-01,15.755000,15.755000,15.755000,15.755000,15.755000,0
2023-03-02,15.843000,15.843000,15.843000,15.843000,15.843000,0
2023-03-03,15.990000,15.990000,15.990000,15.990000,15.990000,0
2023-03-06,16.031000,16.031000,16.031000,16.031000,16.031000,0
2023-03-07,15.934000,15.934000,15.934000,15.934000,15.934000,0
2023-03-08,15.907000,15.907000,15.907000,15.907000,15.907000,0
2023-03-09,15.844000,15.844000,15.844000,15.844000,15.844000,0
2023-03-10,15.610000,15.610000,15.610000,15.610000,15.610000,0
2023-03-13,15.144000,15.144000,15.144000,15.144000,15.144000,0
2023-03-14,15.451000,15.451000,15.451000,15.451000,15.451000,0
2023-03-15,14.884000,14.884000,14.884000,14.884000,14.884000,0
2023-03-16,15.177000,15.177000,15.177000,15.177000,15.177000,0
2023-03-17,14.930000,14.930000,14.930000,14.930000,14.930000,0
2023-03-20,15.101000,15.101000,15.101000,15.101000,15.101000,0
2023-03-21,15.327000,15.327000,15.327000,15.327000,15.327000,0
2023-03-22,15.349000,15.349000,15.349000,15.349000,15.349000,0
2023-03-23,15.341000,15.341000,15.341000,15.341000,15.341000,0
2023-03-24,15.013000,15.013000,15.013000,15.013000,15.013000,0
2023-03-27,15.139000,15.139000,15.139000,15.139000,15.139000,0
2023-03-28,15.121000,15.121000,15.121000,15.121000,15.121000,0
2023-03-29,15.333000,15.333000,15.333000,15.333000,15.333000,0
2023-03-30,15.531000,15.531000,15.531000,15.531000,15.531000,0
2023-03-31,15.641000,15.641000,15.641000,15.641000,15.641000,0
2023-04-03,15.663000,15.663000,15.663000,15.663000,15.663000,0
2023-04-04,15.672000,15.672000,15.672000,15.672000,15.672000,0
2023-04-05,15.578000,15.578000,15.578000,15.578000,15.578000,0
2023-04-06,15.615000,15.615000,15.615000,15.615000,15.615000,0
2023-04-11,15.724000,15.724000,15.724000,15.724000,15.724000,0
2023-04-12,15.733000,15.733000,15.733000,15.733000,15.733000,0
2023-04-13,15.903000,15.903000,15.903000,15.903000,15.903000,0
2023-04-14,15.971000,15.971000,15.971000,15.971000,15.971000,0
2023-04-17,15.908000,15.908000,15.908000,15.908000,15.908000,0
2023-04-18,15.976000,15.976000,15.976000,15.976000,15.976000,0
2023-04-19,16.018999,16.018999,16.018999,16.018999,16.018999,0
2023-04-20,15.989000,15.989000,15.989000,15.989000,15.989000,0
2023-04-21,16.056000,16.056000,16.056000,16.056000,16.056000,0
2023-04-24,16.086000,16.086000,16.086000,16.086000,16.086000,0
2023-04-25,16.007999,16.007999,16.007999,16.007999,16.007999,0
2023-04-26,15.923000,15.923000,15.923000,15.923000,15.923000,0
2023-04-27,16.055000,16.055000,16.055000,16.055000,16.055000,0
2023-04-28,16.104000,16.104000,16.104000,16.104000,16.104000,0
2023-05-02,15.913000,15.913000,15.913000,15.913000,15.913000,0
2023-05-03,15.970000,15.970000,15.970000,15.970000,15.970000,0
2023-05-04,15.828000,15.828000,15.828000,15.828000,15.828000,0
2023-05-05,16.021999,16.021999,16.021999,16.021999,16.021999,0
2023-05-08,null,null,null,null,null,null
2023-05-09,16.004000,16.004000,16.004000,16.004000,16.004000,0
2023-05-10,15.950000,15.950000,15.950000,15.950000,15.950000,0
2023-05-11,15.989000,15.989000,15.989000,15.989000,15.989000,0
2023-05-12,16.052999,16.052999,16.052999,16.052999,16.052999,0
2023-05-15,16.094999,16.094999,16.094999,16.094999,16.094999,0
2023-05-16,16.094999,16.094999,16.094999,16.094999,16.094999,0
2023-05-17,16.066000,16.066000,16.066000,16.066000,16.066000,0
2023-05-18,null,null,null,null,null,null
2023-05-19,16.254999,16.254999,16.254999,16.254999,16.254999,0
2023-05-22,16.264000,16.264000,16.264000,16.264000,16.264000,0
2023-05-23,16.031000,16.031000,16.031000,16.031000,16.031000,0
2023-05-24,15.751000,15.751000,15.751000,15.751000,15.751000,0
2023-05-25,15.739000,15.739000,15.739000,15.739000,15.739000,0
2023-05-26,15.963000,15.963000,15.963000,15.963000,15.963000,0
2023-05-29,null,null,null,null,null,null
2023-05-30,15.823000,15.823000,15.823000,15.823000,15.823000,0
2023-05-31,15.611000,15.611000,15.611000,15.611000,15.611000,0
2023-06-01,15.736000,15.736000,15.736000,15.736000,15.736000,0
2023-06-02,16.007000,16.007000,16.007000,16.007000,16.007000,0
2023-06-05,15.869000,15.869000,15.869000,15.869000,15.869000,0
2023-06-06,15.908000,15.908000,15.908000,15.908000,15.908000,0
2023-06-07,15.894000,15.894000,15.894000,15.894000,15.894000,0
2023-06-08,15.922000,15.922000,15.922000,15.922000,15.922000,0
2023-06-09,15.909000,15.909000,15.909000,15.909000,15.909000,0
2023-06-12,16.033001,16.033001,16.033001,16.033001,16.033001,0
2023-06-13,16.111000,16.111000,16.111000,16.111000,16.111000,0
2023-06-14,16.176001,16.176001,16.176001,16.176001,16.176001,0
2023-06-15,16.066999,16.066999,16.066999,16.066999,16.066999,0
2023-06-16,16.285999,16.285999,16.285999,16.285999,16.285999,0
2023-06-19,16.099001,16.099001,16.099001,16.099001,16.099001,0
2023-06-20,16.035999,16.035999,16.035999,16.035999,16.035999,0
2023-06-21,15.958000,15.958000,15.958000,15.958000,15.958000,0
2023-06-22,15.726000,15.726000,15.726000,15.726000,15.726000,0
2023-06-23,15.601000,15.601000,15.601000,15.601000,15.601000,0
2023-06-26,15.630000,15.630000,15.630000,15.630000,15.630000,0
2023-06-27,15.681000,15.681000,15.681000,15.681000,15.681000,0
2023-06-28,15.848000,15.848000,15.848000,15.848000,15.848000,0
2023-06-29,15.922000,15.922000,15.922000,15.922000,15.922000,0
2023-06-30,16.114000,16.114000,16.114000,16.114000,16.114000,0
2023-07-03,16.076000,16.076000,16.076000,16.076000,16.076000,0
2023-07-04,16.020000,16.020000,16.020000,16.020000,16.020000,0
2023-07-05,15.900000,15.900000,15.900000,15.900000,15.900000,0
2023-07-06,15.450000,15.450000,15.450000,15.450000,15.450000,0
2023-07-07,15.573000,15.573000,15.573000,15.573000,15.573000,0
2023-07-10,15.650000,15.650000,15.650000,15.650000,15.650000,0
2023-07-11,15.814000,15.814000,15.814000,15.814000,15.814000,0
2023-07-12,16.080000,16.080000,16.080000,16.080000,16.080000,0
2023-07-13,16.166000,16.166000,16.166000,16.166000,16.166000,0
2023-07-14,null,null,null,null,null,null
2023-07-17,15.984000,15.984000,15.984000,15.984000,15.984000,0
2023-07-18,16.025999,16.025999,16.025999,16.025999,16.025999,0
2023-07-19,16.042000,16.042000,16.042000,16.042000,16.042000,0
2023-07-20,16.118999,16.118999,16.118999,16.118999,16.118999,0
2023-07-21,16.209000,16.209000,16.209000,16.209000,16.209000,0
2023-07-24,16.198000,16.198000,16.198000,16.198000,16.198000,0
2023-07-25,16.173000,16.173000,16.173000,16.173000,16.173000,0
2023-07-26,15.996000,15.996000,15.996000,15.996000,15.996000,0
2023-07-27,16.350000,16.350000,16.350000,16.350000,16.350000,0
2023-07-28,16.372999,16.372999,16.372999,16.372999,16.372999,0
2023-07-31,16.364000,16.364000,16.364000,16.364000,16.364000,0
2023-08-01,16.218000,16.218000,16.218000,16.218000,16.218000,0
2023-08-02,16.023001,16.023001,16.023001,16.023001,16.023001,0
2023-08-03,15.887000,15.887000,15.887000,15.887000,15.887000,0
2023-08-04,15.971000,15.971000,15.971000,15.971000,15.971000,0
2023-08-07,16.000999,16.000999,16.000999,16.000999,16.000999,0
2023-08-08,15.898000,15.898000,15.898000,15.898000,15.898000,0
2023-08-09,16.002001,16.002001,16.002001,16.002001,16.002001,0
2023-08-10,16.226999,16.226999,16.226999,16.226999,16.226999,0
2023-08-11,16.035999,16.035999,16.035999,16.035999,16.035999,0
2023-08-14,16.056000,16.056000,16.056000,16.056000,16.056000,0
2023-08-15,null,null,null,null,null,null
2023-08-16,15.887000,15.887000,15.887000,15.887000,15.887000,0
2023-08-17,15.725000,15.725000,15.725000,15.725000,15.725000,0
2023-08-18,15.646000,15.646000,15.646000,15.646000,15.646000,0
2023-08-21,15.695000,15.695000,15.695000,15.695000,15.695000,0
2023-08-22,15.796000,15.796000,15.796000,15.796000,15.796000,0
2023-08-23,15.810000,15.810000,15.810000,15.810000,15.810000,0
2023-08-24,15.733000,15.733000,15.733000,15.733000,15.733000,0
2023-08-25,15.753000,15.753000,15.753000,15.753000,15.753000,0
2023-08-28,15.943000,15.943000,15.943000,15.943000,15.943000,0
2023-08-29,16.062000,16.062000,16.062000,16.062000,16.062000,0
2023-08-30,16.062000,16.062000,16.062000,16.062000,16.062000,0
2023-08-31,15.974000,15.974000,15.974000,15.974000,15.974000,0
2023-09-01,15.939000,15.939000,15.939000,15.939000,15.939000,0
2023-09-04,15.892000,15.892000,15.892000,15.892000,15.892000,0
2023-09-05,15.839000,15.839000,15.839000,15.839000,15.839000,0
2023-09-06,15.682000,15.682000,15.682000,15.682000,15.682000,0
2023-09-07,15.669000,15.669000,15.669000,15.669000,15.669000,0
2023-09-08,15.754000,15.754000,15.754000,15.754000,15.754000,0
2023-09-11,15.807000,15.807000,15.807000,15.807000,15.807000,0
2023-09-12,15.757000,15.757000,15.757000,15.757000,15.757000,0
2023-09-13,15.693000,15.693000,15.693000,15.693000,15.693000,0
2023-09-14,15.872000,15.872000,15.872000,15.872000,15.872000,0
2023-09-15,15.970000,15.970000,15.970000,15.970000,15.970000,0
2023-09-18,15.748000,15.748000,15.748000,15.748000,15.748000,0
2023-09-19,15.752000,15.752000,15.752000,15.752000,15.752000,0
2023-09-20,15.859000,15.859000,15.859000,15.859000,15.859000,0
