Class,7  Li  [ No Gas ] ,9  Be  [ No Gas ] ,11  B  [ No Gas ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,28  Si  [ He ] ,31  P  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,47  Ti  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,71  Ga  [ He ] ,72  Ge  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,85  Rb  [ He ] ,88  Sr  [ He ] ,93  Nb  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,133  Cs  [ He ] ,135  Ba  [ He ] ,181  Ta  [ He ] ,182  W  [ He ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] 
Alaskan,28.84 ,0.38 ,582.22 ,2054122.60 ,1007873.96 ,1106.36 ,14856.38 ,6364141.99 ,4814270.23 ,49017.06 ,206.77 ,18.06 ,63.55 ,188.47 ,11852.38 ,7.64 ,313.43 ,2152.89 ,13366.07 ,1.16 ,0.00 ,1136.55 ,1287.48 ,2638.52 ,1250.06 ,7.93 ,8.29 ,0.35 ,5.86 ,63.69 ,14.46 ,12.39 ,0.91 ,1.89 ,1.64 ,1.60 ,1.46 
Alaskan,18.83 ,0.24 ,320.66 ,1767089.25 ,1211887.04 ,1062.83 ,12237.57 ,7876599.01 ,5823161.30 ,47444.83 ,162.72 ,10.28 ,19.00 ,204.10 ,7300.80 ,5.71 ,100.66 ,1650.27 ,12977.87 ,0.34 ,0.00 ,1792.10 ,1533.76 ,3255.37 ,1016.06 ,6.00 ,10.65 ,0.30 ,3.31 ,74.82 ,12.30 ,10.47 ,0.49 ,2.09 ,1.45 ,1.22 ,1.31 
Alaskan,19.18 ,0.14 ,251.27 ,1795020.96 ,1342512.46 ,1532.45 ,15315.53 ,8605506.13 ,6535762.60 ,51642.30 ,224.13 ,17.97 ,27.94 ,213.90 ,10646.79 ,6.23 ,29.36 ,1435.54 ,14994.65 ,0.40 ,0.98 ,1442.81 ,1552.92 ,3598.46 ,952.00 ,11.11 ,10.35 ,0.24 ,4.43 ,83.63 ,12.68 ,20.91 ,0.77 ,3.17 ,1.35 ,1.36 ,1.18 
Alaskan,34.65 ,0.22 ,774.22 ,2506100.49 ,1046296.42 ,909.27 ,13735.56 ,6440047.87 ,4936425.31 ,64051.96 ,133.06 ,22.52 ,15.44 ,180.68 ,8207.37 ,11.47 ,37.75 ,1436.25 ,13582.64 ,0.00 ,0.46 ,960.69 ,1291.09 ,2779.27 ,1842.62 ,7.75 ,11.03 ,1.22 ,9.69 ,65.60 ,17.37 ,22.93 ,0.73 ,2.70 ,2.04 ,2.41 ,2.10 
Alaskan,31.94 ,0.14 ,645.44 ,2098922.18 ,1258080.67 ,1590.83 ,13767.40 ,8093077.10 ,6069461.86 ,69598.68 ,164.31 ,25.34 ,23.14 ,246.58 ,9286.87 ,5.60 ,194.90 ,1845.75 ,13377.73 ,0.74 ,1.37 ,1004.00 ,1708.12 ,3234.93 ,1771.61 ,9.28 ,12.45 ,0.23 ,5.32 ,78.35 ,9.36 ,13.99 ,0.79 ,2.33 ,0.71 ,0.99 ,0.84 
Alaskan,28.50 ,0.13 ,647.51 ,2028752.20 ,1043513.06 ,1728.57 ,13457.70 ,6239644.85 ,4637270.46 ,52832.54 ,136.12 ,8.74 ,51.04 ,193.60 ,11715.57 ,6.63 ,310.86 ,1979.66 ,15646.70 ,0.35 ,0.00 ,1051.80 ,1236.93 ,2511.81 ,1514.64 ,6.78 ,10.85 ,0.48 ,6.37 ,56.72 ,12.83 ,10.52 ,1.00 ,1.63 ,3.16 ,3.17 ,3.25 
Alaskan,23.73 ,0.05 ,369.63 ,1815432.74 ,1210069.27 ,1043.21 ,13510.60 ,7761560.88 ,5891540.39 ,50031.39 ,118.71 ,15.24 ,29.39 ,244.84 ,11721.49 ,6.42 ,607.15 ,2922.46 ,16539.07 ,0.38 ,0.46 ,942.65 ,1631.34 ,3292.70 ,1034.48 ,7.63 ,34.08 ,0.62 ,8.25 ,75.12 ,10.81 ,13.52 ,1.19 ,2.94 ,1.34 ,2.12 ,1.83 
Alaskan,31.55 ,0.05 ,873.14 ,2117952.50 ,926995.00 ,1015.21 ,13474.41 ,5587781.18 ,4417061.70 ,38654.37 ,171.82 ,6.55 ,14.54 ,164.01 ,8686.93 ,4.69 ,157.59 ,1518.74 ,12333.85 ,0.38 ,0.46 ,1088.85 ,1165.54 ,2481.47 ,1147.51 ,8.67 ,9.93 ,2.36 ,6.75 ,65.57 ,15.46 ,11.58 ,0.75 ,1.84 ,3.61 ,4.36 ,3.92 
Alaskan,24.72 ,0.05 ,547.92 ,1902312.06 ,1074206.25 ,1210.51 ,13934.13 ,6886358.05 ,5222650.14 ,47801.36 ,166.41 ,14.07 ,75.17 ,196.77 ,8226.37 ,4.85 ,127.61 ,1429.51 ,11971.00 ,0.39 ,0.48 ,1702.16 ,1496.16 ,2946.61 ,960.23 ,7.02 ,7.99 ,0.69 ,7.27 ,66.35 ,16.01 ,13.66 ,0.74 ,2.13 ,3.01 ,2.97 ,2.86 
Alaskan,51.30 ,0.00 ,827.10 ,3952692.60 ,1531549.50 ,1366.20 ,58861.50 ,12131085.60 ,15733347.30 ,88816.20 ,779.40 ,12.00 ,49.20 ,250.80 ,11183.40 ,6.00 ,41.40 ,1414.80 ,17020.80 ,0.30 ,0.00 ,1606.80 ,2367.30 ,3655.50 ,1788.60 ,8.40 ,9.30 ,1.20 ,6.90 ,82.50 ,17.70 ,5.70 ,0.60 ,2.10 ,0.30 ,0.60 ,0.60 
Alaskan,51.90 ,0.00 ,1155.00 ,3444231.30 ,1397443.20 ,1250.10 ,39440.10 ,10996964.70 ,13099108.20 ,88234.80 ,661.80 ,6.60 ,50.70 ,225.60 ,11530.80 ,5.40 ,28.50 ,1161.90 ,13545.60 ,0.30 ,0.30 ,2428.80 ,1812.00 ,3011.40 ,1798.80 ,31.20 ,12.00 ,1.50 ,6.00 ,74.40 ,33.60 ,19.20 ,3.60 ,2.10 ,4.20 ,4.50 ,4.50 
Alaskan,38.70 ,0.00 ,904.80 ,2485351.50 ,1225344.60 ,10614.00 ,40907.70 ,10464112.50 ,12953340.90 ,97939.50 ,642.90 ,9.00 ,31.20 ,246.60 ,12587.70 ,8.40 ,43.80 ,1578.90 ,15796.20 ,1.50 ,1.20 ,2000.10 ,1651.80 ,3039.00 ,1738.20 ,52.80 ,19.50 ,12.60 ,3.90 ,71.70 ,22.50 ,30.00 ,8.10 ,2.10 ,2.70 ,3.30 ,3.00 
Alaskan,42.30 ,0.00 ,888.60 ,2627406.30 ,1182282.00 ,791.10 ,76222.50 ,9459909.60 ,12093339.00 ,78249.00 ,666.90 ,31.20 ,11.10 ,213.00 ,10932.90 ,4.50 ,20.40 ,1438.80 ,16045.20 ,0.30 ,0.00 ,1609.20 ,1652.70 ,2752.50 ,1730.10 ,2.70 ,7.50 ,1.50 ,6.90 ,69.30 ,22.50 ,2.40 ,0.60 ,2.10 ,0.90 ,1.20 ,1.20 
Alaskan,54.30 ,0.00 ,1013.70 ,3612806.10 ,1549340.70 ,5127.60 ,75219.00 ,11834578.50 ,14866687.50 ,235453.20 ,887.10 ,19.80 ,68.10 ,479.40 ,19968.60 ,6.60 ,57.90 ,1721.10 ,21781.80 ,2.40 ,0.30 ,2761.20 ,2257.20 ,3533.40 ,4947.60 ,3.00 ,11.40 ,396.90 ,51.90 ,84.60 ,90.60 ,2.10 ,0.30 ,1.80 ,59.40 ,58.80 ,59.10 
Alaskan,52.50 ,0.00 ,998.40 ,2798760.30 ,1306978.80 ,1209.30 ,58561.80 ,10788449.70 ,13763937.30 ,123765.30 ,714.30 ,19.20 ,15.60 ,176.40 ,15309.60 ,4.50 ,48.00 ,1303.80 ,15107.10 ,0.30 ,0.30 ,1766.70 ,2269.50 ,3147.60 ,1807.80 ,9.30 ,6.60 ,2.10 ,20.70 ,68.40 ,31.50 ,6.60 ,0.90 ,1.20 ,31.80 ,33.00 ,32.40 
Alaskan,44.10 ,0.00 ,811.50 ,2851540.50 ,1137170.40 ,1144.50 ,55980.90 ,8770453.80 ,11080000.80 ,88234.50 ,610.50 ,6.30 ,22.50 ,171.60 ,12015.30 ,5.70 ,36.90 ,990.00 ,13795.50 ,0.00 ,0.00 ,2090.70 ,1525.50 ,2520.60 ,1815.30 ,13.80 ,9.00 ,2.10 ,10.50 ,65.40 ,19.50 ,9.00 ,0.90 ,1.50 ,4.20 ,3.90 ,4.20 
Alaskan,28.20 ,0.00 ,437.10 ,2246614.80 ,1027735.20 ,1009.20 ,63892.80 ,8789944.80 ,12427510.20 ,52118.70 ,643.20 ,5.40 ,29.10 ,169.50 ,11581.50 ,4.80 ,38.70 ,1246.50 ,12303.30 ,0.00 ,0.00 ,1504.80 ,1791.60 ,2844.90 ,723.90 ,3.90 ,7.20 ,6.60 ,7.80 ,57.90 ,12.30 ,3.30 ,0.00 ,1.20 ,0.60 ,0.60 ,0.30 
Alaskan,27.00 ,0.00 ,329.40 ,2122575.60 ,1222904.40 ,1175.40 ,50592.00 ,10098261.30 ,13265777.10 ,85107.30 ,672.90 ,18.00 ,31.50 ,198.90 ,11328.90 ,6.60 ,35.10 ,1264.20 ,15141.60 ,0.60 ,0.30 ,1197.30 ,1996.50 ,3020.70 ,1109.10 ,16.80 ,7.20 ,2.40 ,9.30 ,68.10 ,48.60 ,10.50 ,2.40 ,1.80 ,72.00 ,74.70 ,73.80 
Alaskan,36.30 ,0.00 ,929.10 ,2542713.90 ,1112663.10 ,1806.60 ,74141.70 ,8257329.60 ,10517073.30 ,160456.80 ,589.20 ,9.00 ,46.80 ,187.20 ,10233.60 ,6.00 ,56.70 ,979.20 ,16614.00 ,0.00 ,0.00 ,2658.90 ,1589.10 ,2445.90 ,2595.30 ,2.70 ,13.50 ,0.90 ,6.00 ,61.80 ,30.30 ,2.10 ,0.60 ,1.50 ,0.90 ,1.20 ,1.20 
Alaskan,30.90 ,0.00 ,485.40 ,2361570.60 ,1351059.90 ,920.40 ,75545.10 ,11082385.80 ,15692990.40 ,111312.30 ,741.30 ,10.80 ,51.30 ,176.70 ,11170.80 ,5.40 ,25.50 ,1454.10 ,15255.30 ,0.30 ,0.00 ,2014.80 ,2064.60 ,3616.20 ,1671.30 ,3.00 ,10.20 ,0.90 ,7.20 ,88.50 ,21.30 ,3.00 ,0.60 ,1.80 ,1.50 ,1.50 ,1.50 
