Class,7  Li  [ No Gas ] ,9  Be  [ No Gas ] ,11  B  [ No Gas ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,28  Si  [ He ] ,31  P  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,47  Ti  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,71  Ga  [ He ] ,72  Ge  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,85  Rb  [ He ] ,88  Sr  [ He ] ,93  Nb  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,133  Cs  [ He ] ,135  Ba  [ He ] ,181  Ta  [ He ] ,182  W  [ He ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] 
Alaskan,39.30 ,0.00 ,675.60 ,2721961.50 ,1284375.30 ,1151.70 ,70425.00 ,9505844.10 ,11527467.90 ,136319.40 ,636.60 ,9.30 ,34.50 ,209.70 ,8834.40 ,5.70 ,37.80 ,1207.20 ,16162.80 ,0.30 ,0.00 ,1502.10 ,1723.80 ,2655.30 ,2121.30 ,3.90 ,6.90 ,1.80 ,3.60 ,59.40 ,23.70 ,3.00 ,0.30 ,1.80 ,0.60 ,0.60 ,0.60 
Alaskan,38.40 ,0.00 ,635.70 ,2717635.20 ,1302367.20 ,555.90 ,46231.80 ,10907875.80 ,14098095.60 ,73980.00 ,669.00 ,33.60 ,12.30 ,236.10 ,11176.50 ,5.10 ,31.50 ,1213.20 ,12973.50 ,0.30 ,0.30 ,1638.90 ,1940.40 ,3233.40 ,1245.30 ,17.40 ,10.80 ,6.00 ,8.70 ,79.50 ,10.80 ,10.20 ,2.10 ,2.10 ,9.60 ,10.20 ,10.20 
Alaskan,24.00 ,0.30 ,359.70 ,2135973.60 ,1350207.30 ,2130.00 ,63207.60 ,11186966.70 ,15980760.00 ,67965.00 ,735.00 ,5.40 ,17.70 ,255.30 ,13140.90 ,6.00 ,126.00 ,1374.90 ,15932.10 ,0.30 ,0.00 ,2262.60 ,2325.90 ,3696.60 ,1113.60 ,6.00 ,8.40 ,13.80 ,8.40 ,80.70 ,10.80 ,4.20 ,0.00 ,1.80 ,4.20 ,4.20 ,4.20 
Alaskan,42.30 ,0.00 ,706.20 ,2749275.30 ,1196021.10 ,1055.40 ,70023.30 ,9605880.30 ,12955398.00 ,91435.80 ,702.60 ,4.80 ,22.50 ,168.00 ,11971.20 ,8.10 ,30.30 ,1374.00 ,15922.20 ,0.00 ,0.00 ,1980.90 ,1676.70 ,3041.70 ,1527.30 ,3.00 ,7.20 ,1.80 ,6.60 ,69.90 ,15.90 ,2.40 ,0.60 ,1.80 ,0.00 ,0.30 ,0.00 
Alaskan,30.90 ,0.00 ,640.50 ,2610492.30 ,1498620.00 ,2117.10 ,65173.20 ,12214932.30 ,16145095.80 ,94836.00 ,825.00 ,8.10 ,111.30 ,248.70 ,13859.10 ,9.00 ,20.70 ,1634.10 ,18858.90 ,0.30 ,0.30 ,3702.00 ,2121.30 ,3629.70 ,1360.50 ,5.70 ,21.00 ,0.90 ,3.30 ,82.80 ,13.20 ,4.50 ,0.00 ,2.10 ,0.90 ,0.90 ,0.90 
Alaskan,39.60 ,0.30 ,812.70 ,2688569.10 ,1334387.10 ,687.90 ,45400.50 ,11964745.80 ,13773161.70 ,108714.60 ,661.80 ,26.70 ,40.20 ,218.40 ,8616.00 ,5.10 ,109.20 ,1325.10 ,15238.20 ,0.30 ,0.60 ,1360.50 ,1967.40 ,3437.70 ,1326.60 ,18.00 ,9.00 ,0.60 ,4.80 ,72.60 ,42.00 ,18.90 ,2.10 ,2.10 ,8.70 ,8.40 ,8.40 
Alaskan,30.30 ,0.00 ,675.30 ,1963008.60 ,841954.20 ,1109.70 ,58285.50 ,7200713.70 ,8868652.80 ,94835.70 ,563.40 ,12.30 ,43.20 ,154.20 ,6864.90 ,3.90 ,104.40 ,1083.60 ,11904.90 ,0.00 ,0.00 ,788.10 ,1187.10 ,2246.70 ,1540.50 ,4.80 ,8.10 ,0.60 ,4.50 ,55.20 ,40.50 ,5.40 ,0.30 ,1.20 ,9.00 ,9.60 ,9.30 
Alaskan,33.60 ,0.30 ,711.00 ,2373884.40 ,1201192.80 ,693.00 ,48179.10 ,10582325.40 ,12090765.30 ,82923.60 ,619.80 ,7.80 ,33.30 ,204.60 ,9832.20 ,5.40 ,128.40 ,1353.00 ,14939.70 ,0.30 ,0.30 ,1595.40 ,1698.00 ,3390.00 ,1278.90 ,9.00 ,9.30 ,0.90 ,7.20 ,72.30 ,39.00 ,8.70 ,0.90 ,1.80 ,9.30 ,9.30 ,9.30 
Alaskan,48.90 ,0.30 ,1102.50 ,3124984.20 ,1244276.10 ,879.90 ,63228.00 ,10088160.30 ,11138867.10 ,110998.20 ,645.30 ,12.90 ,132.30 ,257.10 ,13800.90 ,7.20 ,119.40 ,1365.00 ,15714.00 ,0.30 ,0.00 ,2085.90 ,2128.50 ,2875.50 ,2271.30 ,3.30 ,14.70 ,1.20 ,11.40 ,65.40 ,29.40 ,5.40 ,0.00 ,1.20 ,11.10 ,12.00 ,11.40 
Alaskan,22.80 ,0.30 ,318.90 ,2188314.30 ,1149963.30 ,7892.70 ,63033.30 ,11629366.20 ,13014148.20 ,99091.50 ,3368.40 ,10.80 ,34.50 ,247.50 ,12577.80 ,6.30 ,114.60 ,1556.70 ,18465.30 ,0.30 ,0.00 ,3723.00 ,1979.70 ,3288.00 ,1450.20 ,0.00 ,15.00 ,0.30 ,9.90 ,71.70 ,36.00 ,1.50 ,0.30 ,1.50 ,9.30 ,9.00 ,9.30 
Alaskan,41.70 ,0.30 ,1034.40 ,2830545.60 ,1291611.90 ,688.50 ,46755.00 ,11405638.50 ,13009733.10 ,119238.90 ,625.20 ,8.70 ,53.10 ,208.20 ,10531.80 ,5.70 ,118.80 ,1422.60 ,16519.50 ,0.30 ,0.60 ,1401.90 ,2210.40 ,3301.20 ,1682.70 ,12.30 ,8.70 ,1.20 ,6.60 ,74.40 ,41.70 ,11.40 ,1.20 ,1.50 ,10.50 ,10.80 ,10.50 
Alaskan,46.80 ,0.30 ,919.80 ,2266849.20 ,927736.20 ,1684.50 ,223.20 ,8590046.70 ,9123106.50 ,182872.80 ,632.70 ,30.60 ,48.90 ,208.50 ,7819.80 ,5.70 ,57.60 ,1118.70 ,13091.10 ,0.90 ,0.90 ,1907.10 ,1307.40 ,2305.80 ,1971.90 ,50.70 ,16.80 ,1.20 ,6.90 ,56.70 ,51.00 ,37.50 ,7.20 ,1.50 ,3.90 ,3.30 ,3.30 
Alaskan,27.30 ,0.00 ,818.40 ,2185045.20 ,987131.10 ,1857.90 ,157131.90 ,7699042.20 ,8433509.40 ,177301.20 ,749.10 ,6.90 ,51.30 ,147.30 ,8987.70 ,5.40 ,69.30 ,1038.30 ,13004.10 ,0.90 ,0.90 ,1318.50 ,1280.40 ,2270.40 ,2261.40 ,3.30 ,10.50 ,1.20 ,4.80 ,50.10 ,89.40 ,3.90 ,0.30 ,1.20 ,5.40 ,6.00 ,5.40 
Alaskan,62.10 ,0.00 ,1346.10 ,3425310.60 ,1339650.30 ,926.40 ,40980.60 ,12191769.90 ,13882607.70 ,155340.30 ,704.70 ,26.70 ,76.80 ,256.80 ,15724.80 ,7.20 ,118.20 ,1542.90 ,18506.40 ,0.30 ,0.30 ,1851.90 ,2463.30 ,3589.20 ,2490.60 ,12.60 ,12.30 ,2.10 ,21.00 ,82.20 ,41.70 ,13.20 ,1.50 ,1.80 ,10.50 ,10.20 ,10.20 
Alaskan,37.20 ,0.30 ,1070.40 ,3264827.40 ,1218912.90 ,1114.20 ,219079.50 ,10145227.20 ,11978092.20 ,219348.30 ,902.10 ,11.40 ,83.10 ,226.20 ,17189.70 ,7.80 ,56.70 ,1524.30 ,19500.30 ,0.30 ,0.30 ,2205.90 ,1743.00 ,3074.10 ,2674.20 ,1.50 ,11.10 ,1.20 ,9.00 ,78.90 ,41.40 ,3.00 ,0.30 ,1.80 ,3.30 ,2.70 ,3.00 
Alaskan,32.10 ,0.30 ,846.90 ,1969693.20 ,862772.10 ,1134.30 ,44255.10 ,7735119.00 ,8664530.70 ,100288.80 ,597.30 ,12.60 ,45.90 ,161.10 ,8470.50 ,4.80 ,113.40 ,1019.10 ,13590.30 ,0.30 ,0.00 ,2490.90 ,1436.70 ,2179.50 ,1647.60 ,24.30 ,9.90 ,0.90 ,12.30 ,50.40 ,43.50 ,23.10 ,2.70 ,1.20 ,9.00 ,8.70 ,8.70 
Alaskan,37.50 ,0.30 ,797.40 ,2441533.50 ,1041674.70 ,1160.10 ,54212.40 ,9633976.80 ,11425199.40 ,154422.00 ,733.80 ,6.90 ,65.10 ,181.50 ,8437.50 ,5.70 ,36.60 ,1268.70 ,14226.90 ,0.60 ,0.00 ,1690.50 ,1681.20 ,2918.40 ,2417.10 ,3.30 ,11.70 ,0.30 ,5.10 ,66.30 ,15.30 ,4.20 ,0.00 ,1.50 ,3.30 ,3.00 ,3.00 
Alaskan,54.60 ,0.30 ,1069.80 ,3137727.60 ,1362660.30 ,3166.50 ,11376.30 ,11715035.70 ,12674114.70 ,153143.70 ,781.50 ,46.20 ,50.40 ,267.30 ,10403.70 ,5.70 ,29.10 ,1371.90 ,18057.60 ,0.90 ,0.90 ,1817.70 ,1922.40 ,3116.10 ,1914.30 ,30.60 ,17.10 ,0.30 ,4.50 ,69.90 ,16.80 ,25.20 ,4.50 ,2.10 ,0.60 ,0.30 ,0.30 
Alaskan,32.10 ,0.00 ,658.20 ,2410270.20 ,1220732.70 ,1066.50 ,39788.40 ,10624461.90 ,12415212.60 ,84605.40 ,637.50 ,19.80 ,42.00 ,213.00 ,8824.50 ,5.10 ,106.20 ,1383.90 ,14288.70 ,0.30 ,0.60 ,1130.70 ,1753.80 ,3129.30 ,1239.00 ,30.00 ,13.80 ,1.20 ,30.30 ,76.50 ,41.40 ,26.40 ,4.20 ,3.00 ,9.90 ,9.90 ,9.90 
Alaskan,26.40 ,0.30 ,596.70 ,2315774.10 ,1219012.80 ,1447.50 ,63774.30 ,10845352.80 ,12414171.60 ,72183.90 ,939.00 ,20.70 ,66.90 ,234.00 ,9141.90 ,5.70 ,24.60 ,1279.80 ,14067.30 ,0.00 ,0.30 ,1311.00 ,1629.90 ,3138.90 ,1271.70 ,3.90 ,14.40 ,0.00 ,42.90 ,73.20 ,12.90 ,4.80 ,0.00 ,2.40 ,6.90 ,6.60 ,6.60 
Alaskan,41.40 ,0.00 ,883.20 ,2784004.80 ,1259940.00 ,38850.60 ,217602.60 ,9902645.70 ,11020285.20 ,163673.70 ,840.00 ,15.90 ,64.80 ,310.50 ,27770.40 ,9.60 ,59.70 ,1508.10 ,16238.70 ,6.00 ,0.90 ,1347.30 ,1701.60 ,2862.90 ,1850.70 ,3.30 ,13.50 ,0.60 ,11.70 ,70.20 ,39.60 ,4.20 ,0.60 ,2.10 ,4.20 ,4.80 ,4.20 
Alaskan,25.20 ,0.30 ,501.90 ,1824266.40 ,922731.60 ,699.30 ,62155.80 ,7451233.20 ,7947948.30 ,99408.60 ,466.20 ,24.30 ,32.70 ,183.30 ,10142.70 ,6.60 ,107.40 ,1137.30 ,13869.90 ,0.00 ,0.00 ,1107.30 ,1578.60 ,1958.70 ,1770.30 ,6.90 ,11.70 ,1.50 ,9.00 ,47.10 ,50.70 ,7.80 ,0.30 ,1.50 ,10.20 ,10.80 ,10.50 
Alaskan,47.10 ,0.00 ,720.60 ,2390249.40 ,1086490.20 ,142.50 ,61575.90 ,8295390.60 ,9301329.90 ,117026.40 ,483.60 ,9.30 ,27.60 ,194.10 ,7908.90 ,5.10 ,21.00 ,1322.40 ,14580.30 ,0.00 ,0.30 ,2875.20 ,1661.70 ,2389.50 ,2032.50 ,3.60 ,10.20 ,0.00 ,4.50 ,58.20 ,16.80 ,6.00 ,0.30 ,1.50 ,2.10 ,2.40 ,2.40 
Alaskan,45.30 ,0.30 ,1170.90 ,2960268.00 ,1237886.10 ,1377.30 ,57903.60 ,10837059.30 ,12198474.90 ,125275.80 ,878.10 ,8.70 ,96.30 ,215.10 ,9970.50 ,9.00 ,108.00 ,1508.70 ,17272.80 ,0.00 ,0.00 ,1573.20 ,1794.30 ,3120.00 ,2485.50 ,2.70 ,15.30 ,0.90 ,4.80 ,74.40 ,30.90 ,3.90 ,0.00 ,2.10 ,10.80 ,10.50 ,10.50 
Alaskan,28.50 ,0.30 ,594.00 ,2154427.50 ,1065418.80 ,1170.30 ,67950.90 ,9716613.30 ,10949336.70 ,67178.70 ,598.50 ,4.50 ,22.20 ,197.40 ,11418.90 ,4.50 ,93.90 ,1438.80 ,13722.60 ,0.30 ,0.00 ,1838.10 ,1502.10 ,2760.90 ,1214.70 ,2.40 ,8.40 ,1.20 ,8.40 ,70.20 ,36.30 ,3.90 ,0.30 ,1.50 ,12.00 ,11.70 ,12.00 
Alaskan,55.50 ,0.00 ,1141.20 ,3155112.00 ,1099185.30 ,677.10 ,61884.30 ,9639675.90 ,10088137.50 ,146973.60 ,612.00 ,19.80 ,29.40 ,216.60 ,17233.80 ,5.70 ,30.90 ,1248.00 ,16555.50 ,0.30 ,0.60 ,1929.90 ,1864.20 ,2592.00 ,2295.30 ,4.50 ,8.40 ,0.30 ,18.00 ,60.90 ,24.00 ,5.40 ,0.00 ,1.50 ,6.00 ,5.70 ,5.70 
Alaskan,42.00 ,0.30 ,782.40 ,3331593.30 ,1295721.60 ,734.40 ,51965.70 ,11710731.60 ,13371674.10 ,156835.80 ,633.90 ,14.10 ,76.20 ,227.40 ,13335.90 ,7.80 ,120.30 ,1517.70 ,16773.00 ,0.30 ,0.00 ,1774.50 ,1991.40 ,3400.50 ,2468.70 ,9.30 ,14.70 ,1.50 ,26.10 ,75.90 ,43.80 ,10.20 ,0.60 ,1.80 ,10.50 ,10.80 ,10.80 
Alaskan,42.60 ,0.30 ,1003.50 ,3189514.20 ,1385770.20 ,1000.80 ,64667.40 ,12898492.80 ,14988181.50 ,103026.00 ,792.60 ,22.80 ,38.40 ,336.60 ,12544.20 ,8.10 ,99.90 ,1850.10 ,18399.90 ,0.00 ,0.00 ,2617.80 ,1855.80 ,3734.70 ,1980.60 ,1.80 ,11.40 ,0.30 ,4.80 ,93.00 ,36.30 ,3.90 ,0.30 ,2.40 ,10.50 ,10.50 ,10.50 
Alaskan,31.50 ,0.30 ,575.10 ,2086617.00 ,1091751.90 ,1652.10 ,47589.00 ,10085208.00 ,11864766.00 ,64911.90 ,872.10 ,26.40 ,37.20 ,244.80 ,10454.40 ,5.10 ,150.90 ,1374.60 ,14160.00 ,0.00 ,0.30 ,1089.30 ,1555.20 ,2981.10 ,859.80 ,11.40 ,11.70 ,0.90 ,26.10 ,62.40 ,42.00 ,10.50 ,1.50 ,1.50 ,9.90 ,10.20 ,9.90 
Alaskan,67.20 ,0.00 ,649.20 ,3238532.70 ,1385545.80 ,147.00 ,59958.30 ,11549655.30 ,14271498.30 ,128425.80 ,594.30 ,14.40 ,91.20 ,227.70 ,11949.30 ,6.00 ,21.30 ,1564.20 ,14877.90 ,0.00 ,0.30 ,1204.80 ,2015.10 ,3552.00 ,2053.80 ,3.00 ,15.00 ,0.00 ,15.00 ,87.00 ,12.30 ,5.70 ,0.00 ,3.30 ,1.20 ,1.20 ,1.20 
Alaskan,36.00 ,0.30 ,710.10 ,2414188.20 ,1094695.80 ,786.60 ,57442.80 ,8905925.10 ,10392282.90 ,108243.30 ,548.10 ,11.70 ,39.00 ,173.70 ,12615.00 ,4.50 ,370.50 ,1203.30 ,13952.70 ,0.30 ,0.30 ,1429.20 ,1982.70 ,2791.50 ,1549.80 ,10.50 ,8.10 ,1.50 ,17.40 ,60.30 ,48.60 ,10.80 ,0.60 ,1.20 ,13.80 ,14.10 ,14.10 
Alaskan,51.60 ,0.00 ,1266.00 ,3261349.50 ,1277286.60 ,1110.60 ,41112.60 ,10835496.30 ,12439104.90 ,135996.90 ,635.40 ,8.70 ,57.90 ,233.70 ,11501.70 ,5.40 ,114.30 ,1317.60 ,15857.70 ,0.60 ,0.30 ,2131.20 ,1870.50 ,3076.50 ,2256.90 ,24.30 ,10.50 ,1.20 ,11.70 ,77.70 ,78.30 ,20.70 ,3.60 ,1.50 ,9.30 ,9.90 ,9.60 
Alaskan,33.90 ,0.60 ,611.70 ,2941050.60 ,1523030.10 ,1073.70 ,353633.70 ,14087566.20 ,16446989.70 ,91308.30 ,960.60 ,5.10 ,53.70 ,298.50 ,13872.90 ,5.70 ,300.90 ,2593.20 ,16889.10 ,0.00 ,0.30 ,1976.40 ,2666.10 ,4036.80 ,1027.20 ,0.90 ,3.90 ,1.80 ,6.60 ,98.10 ,33.00 ,8.10 ,0.90 ,2.40 ,7.50 ,7.80 ,7.50 
Alaskan,21.30 ,0.00 ,124.50 ,1881396.90 ,1377276.60 ,943.50 ,86460.90 ,11184697.80 ,14312592.60 ,58378.80 ,778.50 ,10.20 ,46.20 ,251.40 ,12366.90 ,8.70 ,138.30 ,1837.50 ,15078.00 ,0.30 ,0.60 ,2152.50 ,2217.30 ,4047.00 ,742.20 ,16.50 ,12.60 ,0.60 ,9.30 ,87.30 ,26.40 ,21.30 ,4.20 ,2.70 ,0.00 ,0.90 ,0.30 
Alaskan,18.90 ,0.30 ,105.90 ,1970179.20 ,1278434.70 ,653.70 ,117128.70 ,10408394.70 ,12993494.70 ,70953.00 ,558.00 ,10.50 ,22.20 ,230.10 ,8529.00 ,5.10 ,294.30 ,2616.30 ,14273.40 ,0.00 ,0.30 ,2123.40 ,1821.60 ,3400.80 ,1116.00 ,0.90 ,6.60 ,0.00 ,3.00 ,79.20 ,9.30 ,4.80 ,0.60 ,1.80 ,1.20 ,0.90 ,0.90 
Alaskan,27.30 ,0.00 ,391.80 ,2022248.70 ,1039645.50 ,177.90 ,95289.00 ,8177515.50 ,10384399.20 ,71769.90 ,454.80 ,8.70 ,120.90 ,186.90 ,12069.00 ,5.70 ,67.20 ,1398.30 ,14251.50 ,0.30 ,0.30 ,1413.90 ,1805.70 ,2961.00 ,1184.40 ,11.70 ,14.40 ,0.30 ,10.20 ,57.00 ,21.00 ,15.60 ,1.80 ,1.50 ,0.60 ,1.20 ,0.90 
Alaskan,25.20 ,0.00 ,435.30 ,2091885.30 ,1156107.00 ,4072.80 ,123546.00 ,8880554.70 ,11416789.50 ,56759.40 ,2072.70 ,5.10 ,36.60 ,195.30 ,9969.90 ,6.30 ,197.40 ,2256.90 ,14532.30 ,0.00 ,0.30 ,1432.80 ,1891.80 ,3092.70 ,1083.60 ,1.50 ,9.90 ,0.00 ,9.00 ,67.50 ,10.50 ,0.90 ,0.90 ,1.50 ,2.10 ,2.40 ,2.10 
Alaskan,32.40 ,0.00 ,559.50 ,2680962.90 ,1263238.50 ,760.80 ,89607.30 ,9740859.00 ,12085006.20 ,105901.50 ,705.60 ,19.50 ,154.50 ,165.90 ,12570.90 ,5.10 ,46.80 ,1358.10 ,14570.10 ,0.30 ,0.30 ,1668.90 ,1969.50 ,3203.10 ,1764.00 ,15.60 ,17.10 ,0.30 ,9.90 ,75.30 ,29.70 ,19.20 ,3.00 ,1.50 ,0.30 ,0.60 ,0.30 
Alaskan,26.10 ,0.60 ,371.70 ,3079059.90 ,1646625.00 ,1097.40 ,209923.20 ,16576684.80 ,19364713.20 ,114949.80 ,1125.30 ,16.20 ,19.20 ,280.80 ,12838.50 ,7.20 ,321.90 ,2702.70 ,16214.40 ,0.30 ,0.30 ,2909.70 ,2604.60 ,4507.50 ,1559.40 ,2.40 ,3.00 ,1.50 ,10.80 ,98.70 ,23.10 ,12.60 ,0.00 ,2.40 ,4.50 ,3.90 ,4.20 
Alaskan,38.70 ,0.60 ,479.70 ,2854075.80 ,1435633.20 ,1387.50 ,327434.70 ,13533849.90 ,16001285.40 ,109312.20 ,933.90 ,21.00 ,28.50 ,207.00 ,10898.70 ,6.00 ,243.90 ,2479.20 ,15528.90 ,0.30 ,0.00 ,1632.00 ,2133.60 ,3659.70 ,1845.60 ,1.20 ,4.50 ,5.40 ,6.30 ,84.00 ,24.30 ,7.80 ,0.60 ,2.10 ,3.30 ,3.00 ,3.30 
Alaskan,35.70 ,0.00 ,603.30 ,3005550.60 ,1430965.50 ,908.40 ,92016.60 ,10334782.80 ,12960045.60 ,95343.00 ,620.70 ,9.00 ,148.80 ,262.50 ,16053.60 ,6.00 ,248.10 ,2225.70 ,17390.40 ,0.30 ,0.30 ,1809.30 ,2276.10 ,3535.20 ,1892.10 ,7.20 ,14.10 ,0.30 ,6.60 ,79.20 ,20.10 ,13.20 ,1.20 ,2.10 ,14.10 ,14.40 ,14.40 
Alaskan,48.00 ,0.30 ,1122.60 ,3008766.00 ,1456648.50 ,1750.50 ,175386.60 ,13081086.90 ,14811783.30 ,130134.90 ,798.60 ,11.40 ,56.10 ,362.10 ,18310.20 ,11.40 ,425.10 ,2922.90 ,21304.50 ,0.30 ,0.60 ,1663.20 ,2202.00 ,3461.70 ,2280.00 ,10.80 ,18.00 ,15.00 ,7.20 ,78.60 ,42.60 ,30.00 ,12.60 ,1.80 ,9.90 ,9.90 ,9.90 
Alaskan,37.20 ,0.00 ,589.50 ,3022161.30 ,1463046.90 ,283.20 ,65293.50 ,12193750.20 ,14805818.40 ,61027.20 ,632.70 ,4.80 ,22.80 ,236.40 ,9997.50 ,3.90 ,116.70 ,1555.20 ,15053.40 ,0.30 ,0.30 ,1992.90 ,1849.80 ,4191.60 ,1114.20 ,27.30 ,11.40 ,0.90 ,5.70 ,94.50 ,14.10 ,31.20 ,4.80 ,2.70 ,1.20 ,1.50 ,1.20 
Alaskan,29.40 ,0.00 ,436.50 ,2382103.80 ,1195048.80 ,3220.80 ,116274.00 ,9035228.40 ,10941619.50 ,69027.00 ,1760.40 ,19.80 ,13.80 ,199.20 ,10320.30 ,4.50 ,48.30 ,1479.30 ,16054.80 ,0.00 ,0.30 ,1298.40 ,1725.90 ,3057.30 ,1432.50 ,0.30 ,8.10 ,0.90 ,16.20 ,72.00 ,12.90 ,2.10 ,1.20 ,1.80 ,0.60 ,0.90 ,0.60 
Alaskan,33.90 ,0.00 ,509.10 ,2765961.90 ,1376066.10 ,440.70 ,108281.70 ,11188129.50 ,14499723.00 ,61213.80 ,574.80 ,18.30 ,103.20 ,264.60 ,12803.70 ,5.70 ,373.20 ,3030.90 ,15409.20 ,0.30 ,0.00 ,1185.60 ,1720.80 ,3867.60 ,989.70 ,2.40 ,13.80 ,0.30 ,6.90 ,92.10 ,11.70 ,5.70 ,0.00 ,3.60 ,1.80 ,1.50 ,1.80 
Alaskan,30.90 ,0.00 ,509.10 ,2621172.00 ,1283962.50 ,379.80 ,118113.90 ,9525976.80 ,11823850.50 ,58738.20 ,552.60 ,9.00 ,41.70 ,271.50 ,10750.50 ,5.70 ,64.20 ,1617.90 ,14283.60 ,0.00 ,0.00 ,1629.00 ,1833.30 ,3248.70 ,1312.50 ,0.60 ,7.80 ,0.60 ,8.40 ,73.20 ,17.10 ,4.20 ,0.90 ,2.70 ,1.20 ,1.50 ,1.20 
Alaskan,26.40 ,0.90 ,174.00 ,2532732.90 ,1574529.30 ,1074.30 ,273680.10 ,15474745.80 ,18336705.30 ,79394.70 ,1041.90 ,16.50 ,65.10 ,282.90 ,14524.50 ,6.90 ,234.00 ,2401.50 ,18405.90 ,0.30 ,0.30 ,1300.50 ,2314.50 ,4185.90 ,1168.80 ,1.80 ,9.60 ,1.20 ,9.60 ,94.80 ,24.90 ,10.50 ,0.30 ,2.70 ,2.10 ,2.10 ,2.40 
Alaskan,47.40 ,0.30 ,771.30 ,3092250.90 ,1450587.60 ,1293.30 ,186392.40 ,12759306.90 ,14743039.80 ,106712.40 ,939.00 ,38.10 ,60.30 ,265.20 ,14274.00 ,5.10 ,735.90 ,3522.30 ,16632.60 ,0.30 ,0.60 ,1493.70 ,2190.00 ,3501.00 ,1930.50 ,14.10 ,21.30 ,3.60 ,11.70 ,85.20 ,26.40 ,37.50 ,6.00 ,2.40 ,4.80 ,4.50 ,4.80 
Alaskan,34.20 ,0.60 ,609.30 ,2756540.70 ,1628163.00 ,778.20 ,517598.70 ,16133092.50 ,19781083.50 ,83943.90 ,1009.80 ,4.80 ,16.50 ,293.40 ,12460.80 ,8.70 ,234.00 ,2625.30 ,18619.50 ,0.30 ,0.30 ,4710.30 ,2178.30 ,4483.20 ,1263.00 ,0.30 ,5.10 ,2.40 ,4.20 ,104.70 ,19.50 ,5.10 ,1.50 ,2.40 ,10.20 ,10.50 ,10.20 
Alaskan,55.20 ,0.30 ,1095.60 ,3529968.00 ,1377030.90 ,4223.40 ,176403.60 ,12298803.60 ,14912954.70 ,84280.20 ,1782.00 ,9.90 ,104.10 ,219.30 ,12966.90 ,5.40 ,231.60 ,2106.30 ,15414.90 ,0.30 ,0.30 ,1658.10 ,1998.60 ,3566.70 ,1769.70 ,5.40 ,15.00 ,2.40 ,11.40 ,90.00 ,45.60 ,17.40 ,3.00 ,2.10 ,3.90 ,3.60 ,3.90 
Alaskan,38.10 ,0.30 ,418.50 ,2524800.90 ,1400119.80 ,1073.10 ,224498.70 ,13044631.20 ,15731032.80 ,114111.90 ,851.40 ,10.80 ,50.70 ,254.40 ,11343.00 ,6.30 ,32.10 ,1519.50 ,16691.70 ,0.30 ,0.60 ,2427.00 ,1927.50 ,3792.00 ,1530.60 ,9.90 ,13.20 ,3.90 ,14.10 ,85.80 ,42.30 ,30.00 ,2.40 ,1.80 ,4.50 ,4.20 ,4.50 
Alaskan,48.60 ,0.60 ,794.70 ,3509400.60 ,1406698.80 ,703.80 ,487245.30 ,13458549.30 ,15965870.10 ,124455.60 ,861.60 ,30.00 ,22.50 ,209.10 ,10162.20 ,4.80 ,33.60 ,3649.20 ,15593.70 ,0.00 ,0.30 ,1334.10 ,1984.20 ,3626.40 ,2334.00 ,0.30 ,5.70 ,2.40 ,8.40 ,84.00 ,21.90 ,5.40 ,1.50 ,3.00 ,38.40 ,39.90 ,39.00 
Alaskan,40.80 ,0.60 ,48.90 ,2300807.70 ,1539588.00 ,1457.10 ,388576.50 ,15921938.40 ,18783700.20 ,91629.60 ,1174.20 ,20.70 ,52.80 ,292.20 ,14675.70 ,9.30 ,54.00 ,2097.00 ,22246.80 ,0.00 ,0.30 ,2169.00 ,2240.70 ,4216.50 ,1284.60 ,0.90 ,9.00 ,7.80 ,5.40 ,100.20 ,30.30 ,6.90 ,0.90 ,3.00 ,8.40 ,7.80 ,8.10 
Alaskan,27.60 ,0.00 ,213.00 ,2079084.90 ,1329603.60 ,202.80 ,102196.80 ,11084519.70 ,13936025.10 ,59675.40 ,548.70 ,6.30 ,34.80 ,257.70 ,14805.90 ,7.20 ,50.70 ,1859.70 ,15499.50 ,0.00 ,0.30 ,3444.00 ,1937.70 ,3612.30 ,943.50 ,9.60 ,8.70 ,0.00 ,5.70 ,86.40 ,24.60 ,14.10 ,3.30 ,2.10 ,1.20 ,0.90 ,1.20 
Alaskan,58.20 ,0.90 ,905.40 ,4776755.70 ,1758863.70 ,1034.70 ,489819.90 ,16824273.60 ,20895195.90 ,136063.80 ,1104.90 ,14.70 ,57.30 ,327.90 ,15012.30 ,9.00 ,49.20 ,2002.80 ,25378.80 ,0.30 ,0.30 ,1790.70 ,2425.80 ,4827.30 ,2301.60 ,0.00 ,10.50 ,4.20 ,6.90 ,115.80 ,25.80 ,5.40 ,1.50 ,3.30 ,3.00 ,3.30 ,3.30 
